order,win,role
14,TRUE,core

15,TRUE,core

18,FALSE,core

19,TRUE,core

4,FALSE,support

5,TRUE,support

6,TRUE,core

7,TRUE,core

12,TRUE,core

13,FALSE,support

14,TRUE,core

15,TRUE,core

18,TRUE,core

19,TRUE,core

4,TRUE,core

5,FALSE,core

6,TRUE,support

7,TRUE,core

12,FALSE,support

13,TRUE,core

14,TRUE,support

15,TRUE,support

18,TRUE,core

19,TRUE,support

4,TRUE,support

5,FALSE,support

6,TRUE,core

7,FALSE,core

12,TRUE,support

13,TRUE,core

14,TRUE,support

15,TRUE,core

18,FALSE,support

19,FALSE,core

4,FALSE,core

5,FALSE,support

6,TRUE,support

7,TRUE,support

12,TRUE,support

13,FALSE,support

14,TRUE,core

15,FALSE,support

18,TRUE,support

19,TRUE,core

4,FALSE,core

5,TRUE,core

6,TRUE,support

7,FALSE,core

12,TRUE,support

13,FALSE,support

14,TRUE,core

15,TRUE,support

18,TRUE,core

19,FALSE,core

4,TRUE,core

5,TRUE,support

6,FALSE,core

7,FALSE,support

12,FALSE,core

13,TRUE,support

14,FALSE,core

15,FALSE,support

18,TRUE,core

19,TRUE,support

4,TRUE,support

5,TRUE,support

6,TRUE,core

7,FALSE,core

12,TRUE,core

13,TRUE,core

14,FALSE,core

15,TRUE,support

18,TRUE,core

19,TRUE,core

4,TRUE,core

5,FALSE,support

6,FALSE,core

7,TRUE,core

12,FALSE,support

13,TRUE,support

14,TRUE,support

15,FALSE,core

18,FALSE,core

19,TRUE,support

4,FALSE,core

5,FALSE,support

6,TRUE,core

7,TRUE,support

12,TRUE,support

13,TRUE,support

14,FALSE,core

15,TRUE,core

18,FALSE,core

19,TRUE,core

4,TRUE,support

5,TRUE,support

6,TRUE,support

7,FALSE,core

12,FALSE,core

13,FALSE,core

14,TRUE,core

15,FALSE,core

18,TRUE,core

19,TRUE,support

4,TRUE,support

5,TRUE,core

6,TRUE,core

7,FALSE,core

12,TRUE,support

13,FALSE,support

14,FALSE,support

15,TRUE,core

18,FALSE,support

19,TRUE,core

4,FALSE,core

5,FALSE,support

6,TRUE,core

7,TRUE,core

12,TRUE,support

13,FALSE,support

14,FALSE,support

15,FALSE,core

18,TRUE,core

19,TRUE,support

4,TRUE,support

5,FALSE,core

6,TRUE,support

7,TRUE,support

12,TRUE,support

13,FALSE,support

14,FALSE,support

15,FALSE,core

18,FALSE,core

19,FALSE,support

4,FALSE,core

5,TRUE,core

6,TRUE,core

7,TRUE,core

12,TRUE,core

13,FALSE,support

14,TRUE,support

15,TRUE,core

18,FALSE,core

19,TRUE,core

4,TRUE,core

5,FALSE,support

6,FALSE,core

7,FALSE,support

12,FALSE,support

13,TRUE,core

14,FALSE,core

15,FALSE,core

18,FALSE,core

19,TRUE,core

4,FALSE,core

5,FALSE,support

6,TRUE,core

7,FALSE,support

12,FALSE,core

13,FALSE,core

14,TRUE,support

15,TRUE,core

18,FALSE,core

19,TRUE,support

4,TRUE,support

5,FALSE,core

6,TRUE,core

7,FALSE,core

12,TRUE,support

13,TRUE,support

14,TRUE,support

15,FALSE,core

18,FALSE,core

19,FALSE,core

4,FALSE,support

5,TRUE,core

6,TRUE,support

7,TRUE,core

12,FALSE,support

13,FALSE,support

14,FALSE,core

15,FALSE,core

18,TRUE,core

19,FALSE,support

4,TRUE,core

5,FALSE,core

6,FALSE,support

7,TRUE,core

12,TRUE,support

13,TRUE,core

14,FALSE,support

15,FALSE,core

18,TRUE,support

19,FALSE,support

4,FALSE,support

5,TRUE,core

6,FALSE,core

7,TRUE,support

12,TRUE,support

13,TRUE,support

14,FALSE,core

15,FALSE,core

18,FALSE,support

19,FALSE,support

4,FALSE,support

5,TRUE,support

6,TRUE,core

7,TRUE,core

12,TRUE,support

13,FALSE,support

14,FALSE,core

15,TRUE,core

18,TRUE,support

19,FALSE,support

4,TRUE,support

5,FALSE,support

6,FALSE,support

7,TRUE,core

12,FALSE,core

13,TRUE,support

14,TRUE,core

15,TRUE,core

18,TRUE,core

19,TRUE,support

4,TRUE,core

5,TRUE,core

6,TRUE,support

7,FALSE,support

12,FALSE,core

13,FALSE,support

14,FALSE,core

15,TRUE,core

18,FALSE,core

19,FALSE,core

4,FALSE,core

5,FALSE,support

6,TRUE,support

7,FALSE,support

12,FALSE,support

13,FALSE,support

14,TRUE,support

15,FALSE,core

18,FALSE,core

19,FALSE,core

4,FALSE,core

5,TRUE,support

6,FALSE,core

7,FALSE,support

12,FALSE,support

13,FALSE,core

14,FALSE,core

15,TRUE,support

18,FALSE,core

19,FALSE,support

4,FALSE,core

5,FALSE,support

6,FALSE,core

7,FALSE,core

12,TRUE,support

13,FALSE,support

14,FALSE,core

15,TRUE,core

18,TRUE,support

19,FALSE,support

4,TRUE,support

5,FALSE,support

6,TRUE,core

7,FALSE,core

12,TRUE,support

13,FALSE,core

14,FALSE,support

15,FALSE,core

18,FALSE,support

19,FALSE,support

4,TRUE,support

5,TRUE,core

6,FALSE,core

7,FALSE,core

12,TRUE,support

13,TRUE,core

14,FALSE,core

15,FALSE,support

18,TRUE,support

19,FALSE,support

4,FALSE,support

5,FALSE,support

6,FALSE,core

7,TRUE,support

12,FALSE,core

13,FALSE,support

14,FALSE,support

15,FALSE,core

18,TRUE,core

19,FALSE,core

4,FALSE,support

5,TRUE,support

6,TRUE,core

7,FALSE,core

12,TRUE,core

13,TRUE,support

14,TRUE,support

15,TRUE,core

18,FALSE,support

19,TRUE,core

4,TRUE,core

5,FALSE,support

6,TRUE,core

7,TRUE,support

12,FALSE,core

13,FALSE,core

14,TRUE,support

15,TRUE,support

18,TRUE,core

19,TRUE,support

4,TRUE,core

5,TRUE,core

6,TRUE,core

7,TRUE,core

12,FALSE,support

13,TRUE,support

14,TRUE,core

15,FALSE,support

18,FALSE,support

19,TRUE,core

4,FALSE,support

5,FALSE,support

6,FALSE,core

7,FALSE,support

12,TRUE,support

13,TRUE,support

14,FALSE,support

15,TRUE,support

18,TRUE,core

19,TRUE,core

4,TRUE,core

5,TRUE,core

6,TRUE,support

7,TRUE,core

12,TRUE,support

13,FALSE,core

14,FALSE,support

15,TRUE,core

18,TRUE,support

19,TRUE,core

4,FALSE,support

5,TRUE,support

6,FALSE,core

7,TRUE,support

12,FALSE,support

13,FALSE,core

14,TRUE,support

15,FALSE,core

18,TRUE,support

19,FALSE,core

4,TRUE,core

5,FALSE,core

6,TRUE,support

7,FALSE,core

12,FALSE,support

13,TRUE,core

14,FALSE,support

15,TRUE,core

18,FALSE,support

19,FALSE,core

4,TRUE,core

5,FALSE,core

6,FALSE,core

7,FALSE,support

12,TRUE,support

13,TRUE,core

14,TRUE,support

15,TRUE,core

18,TRUE,core

19,FALSE,support

4,FALSE,core

5,FALSE,support

6,FALSE,support

7,FALSE,support

12,FALSE,support

13,FALSE,core

14,FALSE,core

15,TRUE,support

18,TRUE,core

19,FALSE,core

4,TRUE,core

5,TRUE,core

6,TRUE,support

7,TRUE,core

12,FALSE,support

13,FALSE,support

14,FALSE,support

15,TRUE,core

18,FALSE,support

19,TRUE,core

4,FALSE,core

5,TRUE,core

6,TRUE,support

7,TRUE,support

12,TRUE,core

13,FALSE,support

14,TRUE,core

15,TRUE,core

18,FALSE,core

19,TRUE,support

4,FALSE,support

5,TRUE,core

6,FALSE,core

7,TRUE,support

12,FALSE,support

13,TRUE,core

14,TRUE,core

15,FALSE,core

18,TRUE,core

19,FALSE,support

4,FALSE,core

5,FALSE,core

6,TRUE,support

7,TRUE,core

12,TRUE,support

13,TRUE,support

14,TRUE,core

15,FALSE,support

18,FALSE,core

19,FALSE,core

4,TRUE,support

5,TRUE,support

6,FALSE,core

7,TRUE,core

12,FALSE,core

13,TRUE,support

14,FALSE,support

15,TRUE,support

18,FALSE,core

19,TRUE,core

4,FALSE,core

5,TRUE,support

6,TRUE,support

7,TRUE,core

12,TRUE,core

13,TRUE,support

14,FALSE,core

15,TRUE,support

18,FALSE,core

19,FALSE,core

4,TRUE,core

5,TRUE,support

6,FALSE,support

7,FALSE,support

12,FALSE,core

13,TRUE,support

14,TRUE,core

15,FALSE,core

18,FALSE,support

19,FALSE,core

4,FALSE,support

5,FALSE,core

6,FALSE,core

7,TRUE,core

12,FALSE,support

13,FALSE,support

14,FALSE,support

15,TRUE,core

18,TRUE,support

19,TRUE,core

4,TRUE,support

5,FALSE,support

6,FALSE,core

7,TRUE,core

12,FALSE,support

13,TRUE,support

14,TRUE,core

15,FALSE,support

18,TRUE,core

19,FALSE,core

4,TRUE,core

5,TRUE,support

6,TRUE,core

7,FALSE,core

12,TRUE,core

13,TRUE,support

14,TRUE,support

15,TRUE,core

18,TRUE,support

19,TRUE,core

4,TRUE,core

5,TRUE,support

6,TRUE,support

7,TRUE,core

12,FALSE,support

13,FALSE,support

14,TRUE,support

15,TRUE,support

18,TRUE,core

19,TRUE,support

4,FALSE,core

5,FALSE,support

6,TRUE,support

7,FALSE,support

12,TRUE,core

13,TRUE,core

14,TRUE,core

15,FALSE,core

18,FALSE,support

19,FALSE,support

4,FALSE,core

5,TRUE,support

6,TRUE,core

7,FALSE,core

12,FALSE,core

13,FALSE,core

14,FALSE,support

15,FALSE,support

18,TRUE,support

19,TRUE,support

4,FALSE,support

5,FALSE,core

6,FALSE,support

7,TRUE,core

12,TRUE,support

13,FALSE,support

14,FALSE,support

15,FALSE,support

18,FALSE,core

19,TRUE,core

4,TRUE,core

5,FALSE,support

6,TRUE,support

7,FALSE,support

12,FALSE,core

13,FALSE,support

14,FALSE,core

15,FALSE,core

18,TRUE,core

19,TRUE,core

4,FALSE,core

5,FALSE,support

6,FALSE,core

7,FALSE,support

12,FALSE,core

13,FALSE,support

14,FALSE,core

15,FALSE,support

18,FALSE,core

19,TRUE,core

4,FALSE,core

5,FALSE,support

6,FALSE,core

7,TRUE,support

12,FALSE,support

13,FALSE,support

14,TRUE,support

15,FALSE,core

18,TRUE,core

19,FALSE,core

4,FALSE,support

5,FALSE,support

6,TRUE,core

7,FALSE,core

12,FALSE,support

13,TRUE,core

14,FALSE,support

15,TRUE,core

18,TRUE,support

19,FALSE,support

4,FALSE,core

5,TRUE,support

6,TRUE,core

7,TRUE,support

12,FALSE,core

13,FALSE,support

14,TRUE,core

15,TRUE,core

18,TRUE,core

19,TRUE,support

4,FALSE,support

5,FALSE,support

6,TRUE,core

7,TRUE,core

12,FALSE,support

13,FALSE,support

14,TRUE,core

15,FALSE,support

18,TRUE,core

19,TRUE,core

4,FALSE,core

5,FALSE,support

6,TRUE,support

7,TRUE,core

12,TRUE,support

13,TRUE,support

14,TRUE,core

15,FALSE,core

18,FALSE,support

19,TRUE,support

4,TRUE,core

5,TRUE,core

6,FALSE,support

7,TRUE,core

12,FALSE,support

13,TRUE,core

14,FALSE,core

15,TRUE,support

18,TRUE,core

19,TRUE,core

4,FALSE,support

5,TRUE,support

6,TRUE,core

7,FALSE,core

12,FALSE,core

13,TRUE,support

14,TRUE,support

15,TRUE,core

18,TRUE,support

19,TRUE,core

4,TRUE,support

5,FALSE,support

6,TRUE,core

7,FALSE,support

12,FALSE,support

13,FALSE,support

14,FALSE,core

15,FALSE,core

18,TRUE,core

19,TRUE,core

4,FALSE,core

5,TRUE,support

6,TRUE,support

7,FALSE,support

12,FALSE,core

13,TRUE,support

14,FALSE,core

15,TRUE,core

18,TRUE,support

19,TRUE,core

4,TRUE,support

5,TRUE,support

6,FALSE,core

7,TRUE,core

12,TRUE,core

13,FALSE,core

14,FALSE,support

15,TRUE,support

18,FALSE,support

19,TRUE,core

4,TRUE,core

5,FALSE,support

6,FALSE,support

7,TRUE,support

12,TRUE,support

13,FALSE,core

14,TRUE,core

15,FALSE,core

18,FALSE,support

19,TRUE,core

4,FALSE,support

5,FALSE,support

6,TRUE,core

7,TRUE,support

12,TRUE,support

13,FALSE,support

14,FALSE,core

15,FALSE,core

18,FALSE,core

19,FALSE,support

4,FALSE,support

5,FALSE,core

6,FALSE,support

7,TRUE,support

12,FALSE,core

13,FALSE,support

14,TRUE,support

15,FALSE,core

18,TRUE,core

19,TRUE,core

4,TRUE,core

5,FALSE,support

6,TRUE,core

7,FALSE,support

12,FALSE,core

13,TRUE,core

14,FALSE,core

15,TRUE,core

18,TRUE,support

19,FALSE,core

4,FALSE,core

5,FALSE,core

6,TRUE,support

7,FALSE,core

12,TRUE,support

13,TRUE,support

14,FALSE,core

15,FALSE,support

18,TRUE,support

19,TRUE,core

4,TRUE,core

5,TRUE,support

6,TRUE,core

7,FALSE,support

12,FALSE,core

13,FALSE,support

14,TRUE,support

15,FALSE,support

18,FALSE,core

19,FALSE,core

4,TRUE,core

5,FALSE,support

6,FALSE,support

7,FALSE,core

12,FALSE,support

13,TRUE,support

14,FALSE,core

15,FALSE,core

18,TRUE,core

19,FALSE,support

4,FALSE,core

5,FALSE,core

6,FALSE,support

7,TRUE,support

12,TRUE,support

13,FALSE,support

14,TRUE,core

15,TRUE,core

18,TRUE,support

19,TRUE,core

4,FALSE,core

5,TRUE,support

6,FALSE,support

7,FALSE,support

12,TRUE,core

13,FALSE,support

14,TRUE,support

15,FALSE,support

18,TRUE,support

19,FALSE,core

4,TRUE,support

5,TRUE,core

6,TRUE,core

7,TRUE,support

12,FALSE,core

13,FALSE,support

14,TRUE,support

15,TRUE,support

18,TRUE,core

19,TRUE,core

4,TRUE,core

5,TRUE,support

6,TRUE,core

7,TRUE,support

12,TRUE,core

13,TRUE,core

14,TRUE,support

15,FALSE,support

18,TRUE,core

19,TRUE,core

4,TRUE,core

5,FALSE,core

6,TRUE,support

7,FALSE,support

12,FALSE,support

13,FALSE,support

14,TRUE,core

15,TRUE,core

18,TRUE,core

19,TRUE,core

4,FALSE,support

5,TRUE,support

6,FALSE,core

7,TRUE,support

12,FALSE,core

13,TRUE,core

14,FALSE,support

15,FALSE,core

18,TRUE,support

19,FALSE,core

4,FALSE,core

5,TRUE,core

6,FALSE,support

7,FALSE,support

12,FALSE,core

13,FALSE,support

14,TRUE,support

15,TRUE,core

18,FALSE,support

19,FALSE,support

4,TRUE,support

5,TRUE,support

6,FALSE,core

7,FALSE,core

12,TRUE,support

13,FALSE,support

14,FALSE,support

15,FALSE,core

18,TRUE,core

19,TRUE,core

4,FALSE,support

5,FALSE,support

6,FALSE,core

7,TRUE,core

12,TRUE,support

13,FALSE,support

14,TRUE,core

15,TRUE,support

18,FALSE,core

19,FALSE,support

4,FALSE,support

5,FALSE,support

6,TRUE,core

7,TRUE,support

12,FALSE,support

13,TRUE,support

14,FALSE,core

15,TRUE,core

18,TRUE,support

19,FALSE,core

4,TRUE,support

5,TRUE,core

6,TRUE,support

7,TRUE,core

12,FALSE,support

13,FALSE,support

14,FALSE,core

15,TRUE,core

18,TRUE,support

19,FALSE,core

4,TRUE,core

5,TRUE,support

6,TRUE,support

7,TRUE,support

12,FALSE,support

13,TRUE,support

14,FALSE,core

15,FALSE,support

18,FALSE,core

19,TRUE,core

4,FALSE,core

5,FALSE,core

6,FALSE,support

7,FALSE,support

12,FALSE,support

13,TRUE,core

14,FALSE,support

15,TRUE,core

18,FALSE,core

19,TRUE,core

4,FALSE,core

5,FALSE,core

6,TRUE,support

7,TRUE,support

12,TRUE,core

13,FALSE,core

14,FALSE,support

15,FALSE,support

18,TRUE,core

19,FALSE,core

4,TRUE,support

5,TRUE,core

6,TRUE,support

7,FALSE,core

12,TRUE,support

13,FALSE,core

14,FALSE,core

15,TRUE,support

18,FALSE,support

19,TRUE,core

4,TRUE,core

5,TRUE,core

6,FALSE,core

7,FALSE,support

12,FALSE,support

13,FALSE,support

14,FALSE,core

15,TRUE,core

18,FALSE,core

19,TRUE,core

4,TRUE,core

5,FALSE,support

6,TRUE,support

7,FALSE,core

12,TRUE,core

13,FALSE,support

14,TRUE,core

15,FALSE,core

18,TRUE,core

19,TRUE,core

4,FALSE,core

5,FALSE,support

6,FALSE,core

7,FALSE,support

12,FALSE,core

13,FALSE,support

14,FALSE,core

15,TRUE,support

18,TRUE,support

19,FALSE,core

4,TRUE,core

5,TRUE,support

6,FALSE,core

7,FALSE,support

12,TRUE,support

13,FALSE,core

14,FALSE,core

15,TRUE,support

18,TRUE,core

19,FALSE,core

4,FALSE,core

5,FALSE,core

6,TRUE,core

7,FALSE,core

12,TRUE,support

13,FALSE,support

14,TRUE,core

15,FALSE,core

18,FALSE,core

19,TRUE,core

4,TRUE,core

5,FALSE,support

6,FALSE,core

7,TRUE,support

12,TRUE,core

13,TRUE,support

14,FALSE,support

15,FALSE,core

18,FALSE,core

19,FALSE,core

4,TRUE,core

5,FALSE,core

6,FALSE,support

7,TRUE,support

12,TRUE,support

13,TRUE,support

14,TRUE,core

15,FALSE,support

18,FALSE,core

19,TRUE,core

4,FALSE,core

5,FALSE,core

6,TRUE,support

7,FALSE,core

12,FALSE,support

13,FALSE,support

14,TRUE,support

15,TRUE,core

18,TRUE,core

19,TRUE,core

4,FALSE,core

5,TRUE,support

6,TRUE,support

7,TRUE,support

12,TRUE,support

13,TRUE,core

14,FALSE,core

15,FALSE,core

18,FALSE,support

19,FALSE,support

4,FALSE,core

5,FALSE,support

6,TRUE,core

7,FALSE,support

12,FALSE,support

13,TRUE,support

14,FALSE,core

15,FALSE,support

18,TRUE,core

19,FALSE,support

4,FALSE,support

5,TRUE,core

6,FALSE,support

7,FALSE,core

12,TRUE,core

13,FALSE,support

14,TRUE,support

15,TRUE,core

18,TRUE,support

19,TRUE,core

4,TRUE,support

5,TRUE,support

6,TRUE,support

7,FALSE,core

12,TRUE,core

13,TRUE,core

14,FALSE,support

15,FALSE,core

18,TRUE,support

19,TRUE,core

4,FALSE,core

5,TRUE,core

6,TRUE,support

7,TRUE,core

12,TRUE,core

13,TRUE,core

14,TRUE,support

15,FALSE,support

18,TRUE,core

19,FALSE,core

4,FALSE,core

5,FALSE,core

6,FALSE,support

7,FALSE,core

12,TRUE,support

13,TRUE,support

14,FALSE,core

15,TRUE,support

18,TRUE,core

19,FALSE,core

4,TRUE,core

5,FALSE,support

6,TRUE,core

7,TRUE,core

12,TRUE,support

13,FALSE,core

14,FALSE,core

15,FALSE,support

18,FALSE,core

19,FALSE,support

4,FALSE,core

5,FALSE,core

6,TRUE,support

7,TRUE,core

12,FALSE,support

13,FALSE,support

14,FALSE,core

15,FALSE,core

18,TRUE,support

19,TRUE,core

4,FALSE,core

5,FALSE,core

6,TRUE,support

7,FALSE,support

12,TRUE,core

13,FALSE,core

14,FALSE,support

15,TRUE,core

18,TRUE,support

19,TRUE,core

4,FALSE,support

5,TRUE,support

6,FALSE,core

7,FALSE,support

12,TRUE,support

13,FALSE,core

14,FALSE,support

15,TRUE,support

18,TRUE,support

19,TRUE,core

4,TRUE,support

5,FALSE,core

6,FALSE,support

7,TRUE,core

12,TRUE,core

13,FALSE,support

14,TRUE,core

15,FALSE,core

18,TRUE,core

19,FALSE,core

4,TRUE,core

5,TRUE,core

6,FALSE,support

7,FALSE,support

12,FALSE,core

13,TRUE,support

14,TRUE,support

15,TRUE,core

18,FALSE,support

19,FALSE,core

4,TRUE,support

5,TRUE,core

6,TRUE,core

7,FALSE,support

12,FALSE,core

13,FALSE,core

14,FALSE,core

15,TRUE,support

18,TRUE,core

19,FALSE,core

4,TRUE,core

5,TRUE,support

6,TRUE,core

7,TRUE,core

12,TRUE,core

13,TRUE,support

14,FALSE,core

15,TRUE,core

18,FALSE,support

19,FALSE,support

4,TRUE,support

5,FALSE,core

6,FALSE,core

7,FALSE,core

12,TRUE,support

13,FALSE,core

14,TRUE,core

15,FALSE,core

18,FALSE,support

19,TRUE,core

4,FALSE,core

5,TRUE,core

6,FALSE,support

7,TRUE,core

12,TRUE,support

13,TRUE,support

14,FALSE,core

15,FALSE,support

18,FALSE,support

19,FALSE,core

4,FALSE,support

5,FALSE,core

6,FALSE,support

7,FALSE,core

12,FALSE,support

13,FALSE,support

14,TRUE,support

15,TRUE,core

18,TRUE,core

19,TRUE,core

4,FALSE,support

5,FALSE,core

6,FALSE,support

7,TRUE,support

12,FALSE,core

13,TRUE,core

14,TRUE,core

15,FALSE,core

18,FALSE,support

19,TRUE,core

4,FALSE,core

5,TRUE,core

6,TRUE,support

7,TRUE,support

12,TRUE,support

13,FALSE,core

14,TRUE,support

15,TRUE,support

18,FALSE,support

19,TRUE,core

4,TRUE,core

5,FALSE,core

6,TRUE,core

7,FALSE,support

12,TRUE,support

13,FALSE,support

14,TRUE,core

15,TRUE,support

18,TRUE,core

19,TRUE,core

4,TRUE,core

5,FALSE,support

6,FALSE,core

7,TRUE,core

12,TRUE,core

13,TRUE,support

14,FALSE,support

15,FALSE,core

18,TRUE,core

19,FALSE,core

4,TRUE,support

5,FALSE,core

6,TRUE,support

7,TRUE,core

12,FALSE,core

13,TRUE,support

14,TRUE,core

15,TRUE,core

18,TRUE,core

19,TRUE,core

4,TRUE,support

5,FALSE,core

6,TRUE,support

7,TRUE,core

12,TRUE,core

13,FALSE,core

14,FALSE,core

15,FALSE,core
